scenario_label,topology,scheduler,avg_cost,cost_std,cpu_utilization,cost_efficiency,completion_rate
large_cost_diurnal_CostEfficient,large,CostEfficient,471.0379943847656,190.53939819335938,0.1103999987244606,0.00023437599884346128,0.98
large_cost_diurnal_PredictiveCost,large,PredictiveCost,445.5863952636719,172.54209899902344,0.0828000009059906,0.00018582255870569497,0.98
medium_cost_diurnal_CostEfficient,medium,CostEfficient,402.2720031738281,136.06149291992188,0.1103999987244606,0.00027444117586128414,0.98
medium_cost_diurnal_PredictiveCost,medium,PredictiveCost,396.1354064941406,128.5771942138672,0.09459999948740005,0.00023880723165348172,0.98
small_cost_diurnal_CostEfficient,small,CostEfficient,303.17889404296875,75.81780242919922,0.11879999935626984,0.00039184786146506667,0.98
small_cost_diurnal_PredictiveCost,small,PredictiveCost,299.92510986328125,68.5531005859375,0.09619999676942825,0.0003207467379979789,0.98
