,total_tasks,completion_rate,termination_rate,error_rate,avg_completion_time,median_completion_time,std_completion_time,min_completion_time,max_completion_time
large_cost_stable_CostEfficient,50,0.98,0.02,0.0,5014190.918367347,5169590.0,1896465.3862681277,2584495.0,7761590.0
small_cost_stable_CostEfficient,50,0.98,0.02,0.0,24596183.530612245,28438775.0,13964497.248849235,2584795.0,42610010.0
large_cost_stable_PredictiveCost,50,0.98,0.02,0.0,6387207.551020408,7753483.0,2670968.5094086737,2584795.0,10353027.0
medium_cost_stable_CostEfficient,50,0.98,0.02,0.0,8815958.653061224,10342556.0,4137517.3866042322,2584795.0,15520153.0
small_cost_stable_PredictiveCost,50,0.98,0.02,0.0,30177264.673469387,33614998.0,17343931.925433345,2584795.0,52612144.0
medium_cost_stable_PredictiveCost,50,0.98,0.02,0.0,10781639.693877552,12928175.0,5311213.240594956,2584795.0,18112738.0
